Time Step,Health Status,dm,dmdt,domega
1717201227598234905,0.0,[0.42795043],[4.32498581e-07],0.11809893469553867
1717201227653378727,0.0,[1.28726284],[2.33437367e-08],2.683572274678689
1717201227762142932,0.0,[0.66022717],[6.07026159e-09],-2.551089039023069
1717201227763173707,0.0,[0.98956684],[9.60023091e-07],2.624533345296573
1717201227820808929,0.0,[1.37935237],[2.39324556e-08],-2.678485819454154
1717201227821795148,0.0,[0.4366035],[4.42704856e-07],2.4487995976082058
1717201227930452686,0.0,[2.64736431],[2.43642952e-08],-2.427452058580327
1717201227931430137,0.0,[2.56418879],[2.62334523e-06],-0.30023753791988095
1717201228042608716,0.0,[0.26989657],[2.42759511e-09],1.2123304388922238
1717201228135785169,0.0,[1.69402869],[1.81808671e-08],0.6663036710472114
1717201228191970185,0.0,[0.73416344],[1.30668906e-08],1.0478915764274572
1717201228248657143,0.0,[2.45689792],[4.33415031e-08],-2.824117541392991
1717201228305662166,0.0,[1.46716376],[2.57374474e-08],-0.07185754981693174
1717201228362265371,0.0,[1.87886784],[3.31936659e-08],0.09083298375363949
1717201228363360390,0.0,[0.77944735],[7.11812364e-07],0.17789480418834352
1717201228419852120,0.0,[0.5162323],[9.13819253e-09],0.2080043513872386
1717201228476951266,0.0,[2.69962447],[4.72795953e-08],-0.2273468920186011
1717201228534154431,0.0,[0.58671802],[1.02567407e-08],2.447124786562323
1717201228589919034,0.0,[1.75544715],[3.14795961e-08],-2.4469120405083293
1717201228645702334,0.0,[1.12367114],[2.01435046e-08],-0.15835188330953037
1717201228702898858,0.0,[0.55881715],[9.77012451e-09],2.6262002696452775
1717201228760808471,0.0,[0.24424749],[4.21773663e-09],-0.8953188304004231
1717201228819277978,0.6785057223053097,[1.05120309],[1.79786552e-08],-0.02268018616130618
1717201228932439101,0.0,[0.5858937],[5.1775176e-09],-0.904970014124777
1717201228989470986,0.0,[2.99965701],[5.25961409e-08],-0.48687574778753684
1717201229046386526,0.0,[2.90527519],[5.10453778e-08],-0.5080284183430879
1717201229109394104,0.0,[0.25963436],[4.1206848e-09],1.0672203416844885
1717201229167489507,0.0,[1.06275023],[1.829319e-08],1.308306427362903
1717201229226253583,0.0,[0.98031765],[1.66822612e-08],-1.8033588782569159
1717201229283846404,0.0,[0.59382671],[1.03107768e-08],-0.27707751789660007
1717201229342361158,0.0,[0.68835203],[1.17637347e-08],2.6474562189014446
1717201229343443663,0.9950427828216069,[0.96066824],[8.87450062e-07],0.0028163003187566815
1717201229401385288,0.0,[2.41071713],[4.16059642e-08],-2.6054015386590264
1717201229516043959,0.0,[0.31474503],[2.74506088e-09],0.819188298601352
1717201229574674387,0.0,[0.58396252],[9.96005921e-09],0.33995832735918596
1717201229575727364,0.0,[3.67151],[3.48679362e-06],-1.0875889237251055
1717201229633631948,0.0,[2.79153681],[4.82092551e-08],-0.4194341654219439
1717201229727443781,0.0,[1.31598455],[1.40279165e-08],0.2097918790774605
